token_id,operator,cohort,mint_recipient,first_cluster_owner,current_owner,current_owner_in_cluster,cluster_owners_ever,n_cluster_owners_ever,pool_id,pool_label,token0,token0_symbol,token1,token1_symbol,fee,fee_pct,tick_spacing,hooks,hooked,topology,mint_block,mint_tx,minted_directly,current_liquidity,active
470545,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xac751a3b653bd1cb62297bd2323561723429fbdc9cff00c558df030af20e771e,,0x0000000000000000000000000000000000000000,ETH,0x02c53101def0b12f007e5908d189505f51c0e9cc,CASHKEEPER,920990,92.099,200,0x0000000000000000000000000000000000000000,False,token/ETH,28135938,0xcf4f6107fa31e95a7001f747f9592eee2cda779b800902cfd453e7cbb2be8307,True,0,False
470691,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe474db06730ece1905ec191548bd7d70e9f5cba0fed8096c7f8446ffff5d13cd,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x8542cc5da2d318b358d77e01cb2a616f533cc2f3,GANSEKI,880000,88.0,8800,0x0000000000000000000000000000000000000000,False,token/stable,28142230,0x0e132092bfff3f63d13913d2503cc7b0ed6f28140b1e8313770bed45ea3ce43c,True,346998036977675,True
470710,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x9f0aba6695657b2c07efe7ae2cce50a450c2930fc6cefe8a2d370f5c86ab99ce,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x8542cc5da2d318b358d77e01cb2a616f533cc2f3,GANSEKI,550100,55.01,5501,0x0000000000000000000000000000000000000000,False,token/stable,28142997,0xaae6f259b8cb750222393a8ed2b761fa4a8609d3a8482139036a4dd0e220979c,True,915367448072486,True
470802,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x748ed8ce318b0f41ea21d340f7b9807676d7dfff82117c7ee852642bfc77b440,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x6e17153e7b0ae7387d9b44f56291a4ef02cb14cc,funcat,991010,99.101,9910,0x0000000000000000000000000000000000000000,False,token/stable,28148340,0xec0a3c8efd5cd1f3efd8c15015eddf08d6aa34d2136db980f7def23fa537e18a,True,235056500194477,True
470810,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,PRIMARY,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,True,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0x2623842df7f209b1e188843ea654a2cc89897327d29dcd627999399b9e04f7b8,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x99933fc97cc24e6476353f8abfa00b7a9aec5ed6,LAUNCH,870000,87.0,8700,0x0000000000000000000000000000000000000000,False,token/stable,28149420,0x841bdab21633c914e2711ef66f21ba055afebd31180496b943e4b2ddf9df4e80,True,0,False
470842,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,PRIMARY,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,True,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0x7f87cf82bd13e612c0810d7f6dc58a27aa967a801fc0e9add4dfcdbcd52c8770,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x6e17153e7b0ae7387d9b44f56291a4ef02cb14cc,funcat,501100,50.11,10022,0x0000000000000000000000000000000000000000,False,token/stable,28151680,0x1cb59dade083b6200fa80ea907c77fe5029781a84e0a6a4fc0c7b8611a1f9080,True,1257943909266747,True
470843,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,PRIMARY,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,True,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xca3108f4fcd42eb0353968c6779dc5b17568fcab577fd848410d2ccc93033d6b,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x6e17153e7b0ae7387d9b44f56291a4ef02cb14cc,funcat,660600,66.06,13212,0x0000000000000000000000000000000000000000,False,token/stable,28151907,0x95ba903199a388957f9d77ac31dbd8efe910d2a6be513bbb5b612bb78c7da800,True,425128326887541,True
470936,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x42e3889f74e06e989b6d7f0fd09ab39cc38ec47811b40c5f9dbea72e484ccbe4,,0x196a3ab28e1e854a040e57576cf94ff99d7f3acc,Seriouscat,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,990000,99.0,9900,0x0000000000000000000000000000000000000000,False,token/stable,28160757,0x4eb6a7542b7e52109497d62232f638e9500be91976a4db14ce35817abd52ea57,True,0,False
470979,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,PRIMARY,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,True,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0x8acd8adfb32728a402ed62a84dba7b7e9301fb5213c3f4696b358e414781bc13,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xa8f239aa74e9f8ff4fcc541da44a7563a5ee6fcc,PonsSocial,870000,87.0,8700,0x0000000000000000000000000000000000000000,False,token/stable,28164559,0x7f24f204a07cd80a0934a58b786722636695fa497998684aed9ec641fea920a6,True,2534829801629554,True
470983,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,SECONDARY,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,True,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xa13bc6383924f33a0cf5cd1c7a4b6aa29a86367d3e52496a35d73de009129f5f,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xb01bf6577b549059484ef7397b3e90333193eba3,🚀,870000,87.0,8700,0x0000000000000000000000000000000000000000,False,token/stable,28164883,0x4c78be4244a8310711663c8e42876a53f1390681c8f8b205bc74a651b9eb1bb3,True,0,False
