tx_hash,block,timestamp,tx_from,native_value_eth,input_token_class,tokens_sent_by_eoa,tokens_recv_by_eoa,v4_hops,n_v4_hops,suspect_legs,suspect_usdg_in,suspect_fire_out,swap_sender
0x7228a91562d54ce26e73875288b1538ada3317fbdcce9cc194159c7f24a5959d,18355596,2026-07-24T18:13:43+00:00,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,1,25.336289,34286.605805212304,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d
0xc8fcad2e39a6de9447fe52482c5313b47e37cd545a2f909cc4d43ca0de6fe4a5,18355673,2026-07-24T18:13:51+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.25132,ETH/USDG@500 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,7.362431,11405.31968219936,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,18362149,2026-07-24T18:24:41+00:00,0x4337026d731283f9917fa3c9194d74809bfbec26,0,none_from_eoa,,,FIRE/USDG@500000,1,1,3.792264,6169.6966219472215,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x6fc8243a1777bbc97c0c443d6a6f4e8e03f631aadaf83cade8f566516b876729,18392664,2026-07-24T19:15:37+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,USDG/VIRTUAL@3000 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,15.410715,27083.055780436665,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x8692c086e75f93ae5585a5e16c696342b1dec0282d116f758dd0aeab18ad94bb,18392665,2026-07-24T19:15:37+00:00,0xfce111095e51bc515e2da7131524868ab27a6f08,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000 -> ETH/USDG@100,3,1,4.763326,7961.945052512888,0x7702e2e6b53114a037c45a89f855b52721a1c755
0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,18701871,2026-07-25T03:52:31+00:00,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,0,none_from_eoa,,,FIRE/USDG@500000,1,1,5.17913,9850.281982333738,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x655f24cffb634f7149ebe98a3b51834b234b933b9f9be86ad35d018b43c82c26,19411729,2026-07-25T23:40:30+00:00,0xe71411ebb40224f0043d21ee440829156f4fab0a,0,FIRE,FIRE:2543,USDG:1.305911,FIRE/USDG@500000,1,1,1.305911,2543.0,0x8876789976decbfcbbbe364623c63652db8c0904
0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,19687264,2026-07-26T07:21:38+00:00,0x4337004ec9c1417f1c7a26ebd4b4fbed6acf9e5d,0,none_from_eoa,,,FIRE/USDG@400000,1,1,3.323093,6277.083525423277,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x08cd4620309c75d71b3b082eeb42b0827a7c1d7976872fdedbc2f7b9e748f213,19687599,2026-07-26T07:22:12+00:00,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,0,FIRE,FIRE:24369,USDG:12.039928,FIRE/USDG@500000 -> FIRE/USDG@450000,2,1,8.797432,17789.37,0x8876789976decbfcbbbe364623c63652db8c0904
0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,20021264,2026-07-26T16:40:02+00:00,0x4337019d937ebcbd73dd750072d86c1ce664b350,0,none_from_eoa,,,FIRE/USDG@400000,1,1,2.334657,4631.819918130974,0x1d4b86491ec211257cbedd77a4380a7494624eff
