order_tx,block,tx_index,log_index,router_sender,router_family,selected_pool,selected_fee,selected_hooked,fire_in,selected_output,invariant_ok,n_alternatives,best_pool,best_fee,best_hooked,best_output,direct_pool_regret_bps,best_hookless_pool,best_hookless_fee,hookless_regret_bps,cheap_alt_fee,cheap_alt_regret_bps,alt_ever_used_by_sender,alt_used_before_this_order,blocks_since_prior_use
0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,20021264,1,7,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,4631.819918130973597053,2334657,True,5,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2197104.84899336468852407080824534970071847163793715080607179,626.060932274838024376799360839058053649773527409096026474300,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,626.060932274838024376799360839058053649773527409096026474300,,,True,True,1319393
0x64fa0aa1c397a6b32f8bdff2c53a9bb079e8ce156b5418351aa19d9b8c41e791,20098837,6,9,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,5201.553144158262515977,2401443,True,5,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2257694.59875414015751755468396287820736361411617648922603676,636.704367921083227266654585773649442498556609125607503533500,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,636.704367921083227266654585773649442498556609125607503533500,,,True,True,1810790
0x0e8761a434d77192d252711ea37f5bf9036540543cc62b7b302ac27cb97c98bc,20240624,1,8,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,6844.6432008003,2296555,True,5,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2347994.47930520880935215046644768197086469043906680880250299,-219.078365637512832665593460472907554775896013013834043256670,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,-219.078365637512832665593460472907554775896013013834043256670,,,True,True,1952577
0x88de39808ac0335c509d0a853382fef16634d9d4d5d185b468ecb158982d60a8,20382514,7,20,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,11832.3889739029,5938436,True,6,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,5907258.26248769758463358970723347062205177467902641400053140,52.7786938151789430211853462153004158224790941100084316430000,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,52.7786938151789430211853462153004158224790941100084316430000,,,True,True,1680643
0x5717d76e8646d3e2983d565210ccc95b5cb61ae0d81c82a84d5b0eb8b175ea65,20754676,9,62,0xaa61254627b7392b0bc922097b10eb0587db2be7,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4679.502885037473162617,2084315,True,7,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,False,2076902.51060633641640089158134371355116332241843322525640804,35.6901171615395747441358334451187314874098266958683793159000,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,35.6901171615395747441358334451187314874098266958683793159000,,,True,False,
0xdfef287a4a46121ca8bce8e9dc1052af434cced44422621119ed86088c727c21,20784022,17,31,0xaa61254627b7392b0bc922097b10eb0587db2be7,0x Settler,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,9346.3422642319,3951908,True,7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,3941364.08249444064752572983316477252862683263560831580550877,26.7519500479291862685695379125671790941631495783843142494000,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,26.7519500479291862685695379125671790941631495783843142494000,,,True,True,29346
0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,21879972,4,21,0x39b38686a19836ac10162c490e4558e120cbbe5f,0x Settler,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400600,False,14769.654087059925,5425599,True,6,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,5407254.86538882069325321125261227189547926285331818529947698,33.9250415744186138495023602140189117773167683987531332981000,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,33.9250415744186138495023602140189117773167683987531332981000,,,True,False,
0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,21879972,4,25,0x39b38686a19836ac10162c490e4558e120cbbe5f,0x Settler,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450550,False,17723.58490447191,6396154,True,6,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,6462291.08344245676613874619280503674613004925298676442910864,-102.343089453076137299618052127208219794527076233834376109200,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,-102.343089453076137299618052127208219794527076233834376109200,,,True,False,
0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,21879972,4,30,0x39b38686a19836ac10162c490e4558e120cbbe5f,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500500,False,26585.377356707865,9567252,True,6,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,False,8633446.81888534986615823206775935391232172022270238598396425,1081.61340505623475481472436333346950370221575735677201014580,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,1081.61340505623475481472436333346950370221575735677201014580,,,True,True,0
0x20a5232eb7c5d688b2ec7815e59c6428c7c7c76f1ef6c0101e2f6fc272cb6886,22699058,4,16,0x39b38686a19836ac10162c490e4558e120cbbe5f,0x Settler,0xc0397eb91c19243568afe2ca6f7076aac618051dd1e7f0447b4924883d45bbe2,850150,False,14071.951704961807823274,2944523,True,6,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2889674.77622388660484322470540535066774097566257730658767641,189.807601282338415007576511564050249203186252871772931832400,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,189.807601282338415007576511564050249203186252871772931832400,,,True,True,819086
