pool,token_id,owner,capital_deployed_gross_usdg,external_capital_required_usdg,peak_marked_exposure_usdg,realized_withdrawals_usdg,realized_fees_usdg,residual_fire,residual_usdg,residual_spot_mark_usdg,inventory_liquidation_usdg,liquidation_haircut_pct,price_age_median_blocks,price_age_p95_blocks,net_pnl_usdg,roi_on_gross_pct,roi_on_external_pct,first_seen,last_seen
FIRE_USDG_40pct,389503,0x1aa511c41636dc4e1dafe5092157eb606da01d03,146.718267348815353486752518496704195690541575960189687535269,56.0521232601482412305714260862060442663077945949703410525882,178.905088496029349977564509130465224029953501054705253989961,44.7267125726970238411569089708745423110501674329806007720122,73.9826577101125750815351207068662037100656266889883065150343,91169.8272133548230942155592778485641469785256211308032830058,67.2881501266345740448728632758903150445689432351036424702907,143.631712564853867658438507443147264736059298904523093216898,139.203837134915959287421494710111947990942945498310042592540,-5.79993294591295489379548921384626871782110661645703898577862,1136,8791,111.194940068910204723361005891148498321517163660089262344317,75.7880678924252750365554640342055068347307399936871075792413,198.377748426824049462266871612796693027437200469944849075572,2026-07-28T22:38:27+00:00,2026-08-08T20:50:49+00:00
FIRE_USDG_40pct,407995,0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,243.067334553892812732110512954505737318250847407404974167732,85.0247861802634735799449129230229879955513107789013479407561,322.116906366040659982921166914122797039280782642498307049561,0,172.734034984788599689648186924569034105102876070359967668749,192103.565799319125838940422325811569839103331761316467865154,141.782582795911311694765579052857283038757521141569660096009,302.645787416053319668485966967273088467679941053950294101581,293.315829413438332743337793279297875050820166843253196823249,-5.79993294591295489379548921384626871782110661645703898577839,1118,9392,222.982529844334119700875467249361171837672195506208190324266,91.7369379367981276531521789473025678606648386067887717415427,262.255913671552787028141147154637122291118682679195519879699,2026-07-30T16:28:51+00:00,2026-08-08T21:08:33+00:00
FIRE_USDG_40pct,420858,0x490f1d47c41ba36f103a8db40b3c4db532b41899,193.997666289573858600781681820826905748537364721593135352312,126.640265767670232982506066095837459196996062782538846068591,103.024061174718841708463706459991000276802053312890435377424,169.629880439544220142754832655814825597242031094568485257118,7.83566513281636949362804752965545211435496395946272603055652,0,0,0E-63,0E-63,0,5512,206311,-16.532120717213268964398801635356628036940369667561924064637,-8.52181422251560629470158523867122921633395200785107318648416,-13.0543951538624490972803613531312304510576997253228258514634,2026-07-31T12:27:52+00:00,2026-08-02T20:46:59+00:00
FIRE_USDG_40pct,445756,0x490f1d47c41ba36f103a8db40b3c4db532b41899,9.61946367148942073056336128055946550875153053970762323426113,9.61946367148942073056336128055946550875153053970762323426113,13.8102323368314612289709136037053719883980635262896191222876,9.40221150115663133747880066068953139771610160141080481579714,0,0,0,0E-63,0E-63,0,1537,1537,-0.21725217033278939308456061986993411103542893829681841846399,-2.25846448151460563605903977726318542304128869463050021831497,-2.25846448151460563605903977726318542304128869463050021831497,2026-08-02T23:21:55+00:00,2026-08-05T03:07:43+00:00
FIRE_USDG_50pct,188625,0xe49193acd219557a150e35ccc2a66f89c42482e6,183.508890270239815668639560508449134706438454713072863293180,37.5295396092094171805903977288851869653663401382734882998433,182.657707891987817288363074713975409627399777188445619255528,198.850111087559794303993185145661338466739439159732446197122,435.848093997538564975148279505925618392703428034803812724719,0,0,0E-63,0E-63,0,847,13341,451.189314814858543610501904143137822153004412481463395628661,245.867823706211611894301123390021395784226948477981609240935,1202.22448639935000750921947115879116245020447301508114520436,2026-07-19T02:39:43+00:00,2026-07-30T15:34:19+00:00
FIRE_USDG_50pct,201426,0x271070932c8111fb474a3ef55b9a758fd6b115cc,41.5388010103105633373477205588810035522338022111559298067836,5.46761313826339493128941063435590331981676457159925575236998,41.7125570638708131507192550718850636583415497681820248457713,39.5153969726023716556348583429240230133022922717770917199207,53.0925796292177885943544447643424806462851164535967783451930,0,0,0E-63,0E-63,0,1652,12238,51.0691755915095969126415825483855001073536065142179402583301,122.943306858648735166792225160635509405132615703890245944218,934.030523010448729709232188406801474213540277604127165067590,2026-07-19T16:38:55+00:00,2026-07-27T15:18:54+00:00
FIRE_USDG_50pct,207093,0x1aa511c41636dc4e1dafe5092157eb606da01d03,103.664425300815333494281031858247879263559581117744869406939,23.4932445880147220870099159870838939031487334717357210793460,138.169532340272269800334038521128146770947428709246257645034,111.354314170874074934905365397176095151544982429645385423384,312.161941366092240285112101576336145666745921414918593248644,15943.1272502371761649698082812919851763524828189686173574511,9.83197117334650859109105741225064827819575789568130774621576,23.1823872911766067637201958714635855204216404205766774856195,22.4138271596693052869897390468792556975940485031603267004717,-5.75682529086755487525238136881975734458129787502056596089530,1316,28259,342.265657395820287012726174162143617252325371229979435965561,330.166936634846057832050358648884820942041181162238610981257,1456.86840365349115727139397342019110097760564615135086995742,2026-07-19T21:10:48+00:00,2026-08-08T20:49:29+00:00
FIRE_USDG_50pct,211961,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,284.610442879486002747436552404335806761586390562301472192334,85.8307282615243149662171246529170608091776162051154650092424,203.126635532480953182087084208818138019018618647429027159490,196.051512417664427876740563545562891713589196714695343662130,502.144739426431599779796464887897353627386619520064269211387,49110.6072339970005627987332837009838899203955194213517107939,30.2860327871382885257707004379442703045113776231188245771004,71.4101505390945938001150877793625494607965619768761647260265,69.0427069277038194598703992616213303192958110279404130272545,-5.75682529086755487525238136881975734458129787502056596089550,1017,8051,482.628515892313844368970875290745768898685236700398553708438,169.575125567924296627769972056167246031151139625289693922019,562.302715668164342240425167638862813056974604124110016800517,2026-07-20T01:59:50+00:00,2026-08-08T21:25:47+00:00
FIRE_USDG_50pct,286870,0x490f1d47c41ba36f103a8db40b3c4db532b41899,37.5868212566737285642481339883594846833325676972993732929805,29.8335375834161493909392799727949568549618245877063382618564,33.2222900336125164205890419587106896494370305850935860311065,39.5663672875573589815885013072532467557512728329887805873099,4.65086644640375793128254630532474801013196187470703461932706,0,0,0E-63,0E-63,0,718,3479,6.6304124772873883486229136242185100825506670103964419136565,17.6402586215244934291723043131906727042979740549240158805837,22.2246941340711080208535081288928941574766897369025673094089,2026-07-23T00:31:34+00:00,2026-07-23T16:55:00+00:00
FIRE_USDG_50pct,307534,0x490f1d47c41ba36f103a8db40b3c4db532b41899,2.88549462845097145212787957150114396334751072787466352504897,2.88549462845097145212787957150114396334751072787466352504897,2.88549462845096019138865740671386418378671499714652374235429,3.33982218030179175240969869449130938822372024381891658760791,0,0,0,0E-63,0E-63,0,639,639,0.45432755185082030028181912299016542487620951594425306255894,15.7452225823313451464693781146008172432683886313417693404981,15.7452225823313451464693781146008172432683886313417693404981,2026-07-23T14:43:34+00:00,2026-07-23T16:58:35+00:00
FIRE_USDG_50pct,320817,0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,334.238694600151552677524693107322895234822861922889403520593,49.4190938643036408623689127953436229806157240822361764814608,389.023529457760598304964981328655772907317212176986108703604,0,447.583536602983308724665291880429480164707960867015697965233,249138.167413982445045544473970219606507918875097976438546612,153.641079428642951475706859805720782421803273913889744153592,362.263776444424736181073339998231625782832077536940246765070,350.253732260130218729098031268355784455321370143478668350343,-5.75682529086755487525238136881975734458129787502056596089516,2442,19253,463.598574262961974776238630041462369385206469087604962794983,138.702843731951245749856984680633448651946442810177626151410,938.096063711577105088735205535757685033083024286838949441452,2026-07-24T01:40:36+00:00,2026-08-08T21:12:22+00:00
FIRE_USDG_50pct,320895,0x490f1d47c41ba36f103a8db40b3c4db532b41899,15.9604738028599450642600870304624471994807244063463386550873,9.86638287258881399865944542549523918406070216714449934385792,16.1367266853434444755446665919062445658108522233243551188560,15.8731114358520317294523533734580577879524122754775575672448,9.65082607177095316085614385900146603524886000437503638393504,0,0,0E-63,0E-63,0,2230,4603,9.5634637047630398260484102019970766237205478735062552960925,59.9196729551310068053703690180022873152011825168933444763315,96.9297849907349884075374503073110215906803862525035516592040,2026-07-24T01:45:14+00:00,2026-07-24T20:04:11+00:00
FIRE_USDG_50pct,338210,0x490f1d47c41ba36f103a8db40b3c4db532b41899,26.0089214792983329731332235352512846253341548771761045871078,26.0089214792983329731332235352512846253341548771761045871078,26.0089214792983086031741444070850793690372478809316716626650,23.3616486235425425984525305671167178110250806649095777096582,0.168317464412533080112856311791835153568878365504594292657445,0,0,0E-63,0E-63,0,457,10884,-2.4789553913432572945678366563427316607401958467619325847922,-9.53117334494769059990583587089664270672079392702330908184635,-9.53117334494769059990583587089664270672079392702330908184635,2026-07-24T20:18:12+00:00,2026-07-27T00:58:23+00:00
FIRE_USDG_50pct,369065,0x490f1d47c41ba36f103a8db40b3c4db532b41899,94.6769589568115766675273027604197590483291779714335540011958,78.7128084525577377128535391487010247358129704115741367683147,78.4842950752849448833706373656477590203932870088211084845735,93.9965722376432268800206791451062558369414084447609926753866,0.452727810742568765033807440707554381278008734265698923570774,0,0,0E-63,0E-63,0,1993,31645,-0.2276589084257810224728161746059488301097607924068624022384,-0.240458619429919912163242835668127757698401002215240793599942,-0.289227271776228113312526822827750624516571176663894784063692,2026-07-27T03:13:33+00:00,2026-07-31T12:26:43+00:00
FIRE_USDG_50pct,445765,0x490f1d47c41ba36f103a8db40b3c4db532b41899,9.71209886190557903224278636315560466389444163466706331066516,9.71209886190557903224278636315560466389444163466706331066516,9.71209886190557058633848903789808049271986870425834343684108,9.10322621060645059947696096864927151744786315201872286279038,0,0,0,0E-63,0E-63,0,1910,1910,-0.60887265129912843276582539450633314644657848264834044787478,-6.26921801308418239085866751510013920256896107087739319195572,-6.26921801308418239085866751510013920256896107087739319195572,2026-08-02T23:22:33+00:00,2026-08-05T03:04:37+00:00
FIRE_USDG_50pct,500556,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2.60715785530419457097088779500204321516036266007745111479287,1.41056977528439352912216042627740540156390901460496377250766,3.71616812677164223333703542192905262499068771030826085047537,3.83723271537129632795525929814915710187558809169258826153807,1.90178244253521707455197751265565549791736703825705751072545,0,0,0E-63,0E-63,0,1227,2533,3.13185730260231883153634901580276938463259246987219465747065,120.125342477082349943129113830852980912583039480660214928791,222.027818650154054409979513903322911653366208446219131056984,2026-08-06T02:01:14+00:00,2026-08-08T23:22:30+00:00
FIRE_USDG_50pct,526790,0x677c32e3d7993e04ffbd910566ee9dff59448070,90.4729398623361158660226691021237660400774566504757776851449,52.2182974910605744899863158412400568934257672622428731885197,104.373752447265101524566093976737319286722526598042191016286,0,38.2546423712755413760363532608837091466516893882329044966252,74247.8756550926107069277835566762785495127673478322913614465,45.78794120282937324007278057706245444985541735614646584907,107.961442066384688369022667420602503069455618763193281353825,104.382222244453778356683228656121784982154597114256934247909,-5.75682529086755487525238136881975734458129787502056596089524,919,4184,52.1639247533932038666969128148817280887288298520140610593891,57.6569356901256674209474507876233314496243557282953877966212,99.8958741661834553785670364461965661621445369590093375002815,2026-08-06T21:49:08+00:00,2026-08-08T22:05:03+00:00
