tx_hash,timestamp,block,route_shape,n_v4_hops,suspect_pool_50_touched,suspect_pool_40_touched,canonical_pool_touched,classification,cycle_asset,cycle_input,cycle_output,gross_profit,gross_profit_pct,gas_payer,gas_cost_eth,net_profit_after_gas_if_attributable,profit_recipient,profit_recipient_confidence,all_residual_tokens,accounting_balanced,trace_ok,weth_wrap_events,swap_sender,tx_from,protocol_fee_active
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,2026-07-24T15:59:45+00:00,18275319,ETH/FIRE@3000 -> FIRE/USDG@500000 -> USDG/VIRTUAL@3000,3,True,False,True,ONE_WAY_ROUTE,ETH->VIRTUAL,0.040207342408649278,198.354121259071775478,0.000000000000000000,0.000000,0xe858582b200ed580c840b8c24f37560a68406584,0.000127419224962000,,,low,ETH:-0.0402073424|VIRTUAL:+198.3541212591,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xe858582b200ed580c840b8c24f37560a68406584,no
0x540816d819d8654e93f3089de0b4df63db6f0599e805ac3c32614312540d7884,2026-07-24T16:01:37+00:00,18276435,ETH/USDG@460 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0.000027684803450000,,,low,ETH:+0.0000262824|USDG:+0.1264640000,False,True,False,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,no
0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,2026-07-24T16:04:25+00:00,18278116,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,4045.059296016500000000,2.544418000000000000,0.000000000000000000,0.000000,0x43370308b53e3611521ba48e2f7632a5644d7b1f,0.000062584159970000,,,low,FIRE:-4045.0592960165|USDG:+2.5444180000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x43370308b53e3611521ba48e2f7632a5644d7b1f,no
0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,2026-07-24T16:21:00+00:00,18288047,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,4657.832824098800000000,2.854402000000000000,0.000000000000000000,0.000000,0x433700890211c1c776c391d414cffd38efdd1811,0.000077480308224000,,,low,FIRE:-4657.8328240988|USDG:+2.8544020000,False,True,False,0x8f10b468b06c6fd214b65f87778827f7d113f996,0x433700890211c1c776c391d414cffd38efdd1811,no
0x196f54a32b18ed5f42bf93c85c76bffbb0fa7d979dc8fa5a53260104d097b929,2026-07-24T18:03:27+00:00,18349429,ETH/FIRE@3000 -> FIRE/USDG@400000,2,False,True,True,ONE_WAY_ROUTE,ETH->USDG,0.003477340141104396,8.038471000000000000,0.000000000000000000,0.000000,0xdf465f1a0ec31f5d14e8c61179b71e382f97e794,0.000038593437700000,,,low,ETH:-0.0034773401|USDG:+8.0384710000,False,True,False,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,0xdf465f1a0ec31f5d14e8c61179b71e382f97e794,no
0xa61be5392ead1d2f84d2e9088f3312f8dbc91a029bb41df80361aac0223fbcec,2026-07-24T18:03:27+00:00,18349429,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.006848276737347512,13.536994000000000000,0.000000000000000000,0.000000,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,0.000088474730940000,,,low,ETH:-0.0068482767|USDG:+13.5369940000,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,no
0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,2026-07-24T18:04:12+00:00,18349880,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,4210.894902325255219588,2.939952000000000000,0.000000000000000000,0.000000,0x4337011463ef6bd863e47e7b5e743d2522261131,0.000063765076518000,,,low,FIRE:-4210.8949023253|USDG:+2.9399520000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337011463ef6bd863e47e7b5e743d2522261131,no
0x8ddbf89426cce4bade978c96eb5f25d0e0e04a71058ec9216f00351cefdb89f5,2026-07-24T18:11:18+00:00,18354132,ETH/USDG@500 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0.000028813010976000,,,low,ETH:+0.0000214540|USDG:+0.0730080000,False,True,False,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,no
0xd9e13b883b337272b5fe7116a77c1cce3aab2b25bd5be1328633090937c46d85,2026-07-24T18:13:43+00:00,18355596,ETH/FIRE@3000 -> FIRE/USDG@400000 -> WETH/USDG@200,3,False,True,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,0.000032267292288000,,,low,ETH:-0.0048089075|WETH:+0.0066214606,False,True,False,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,no
0x7228a91562d54ce26e73875288b1538ada3317fbdcce9cc194159c7f24a5959d,2026-07-24T18:13:43+00:00,18355596,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,0.000032159116968000,,,low,ETH:-0.0121316082|WETH:+0.0135970272,False,True,False,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,no
