tx_hash,from,to,amount_eth,trace_path,source
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.003529215355149175,root.11.1.0.0.0.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.003529215355149175,root.11.1.0.0.1,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xc6b81b429797e0f555440b70cd99e032d7ae947e,0.003529215355149175,root.11.1.0.0.1.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000035292153551491,root.11.1.0.0.5.0.1.0.0.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xa633c73658857d5241fe21d43f854a82e2d0592c,0.003529215355149175,root.11.1.0.0.5.0.5.0.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x9622a5f4c3f5fef73cb71da0bff3ed86a8203056,0.003529215355149175,root.11.1.0.0.5.0.5.0.0.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.003529215355149175,root.11.1.0.0.5.0.6,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.003529215355149175,root.11.1.0.0.8.0.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.003529215355149175,root.11.1.0.0.9,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000045046525076093,root.5.0.0.0.0.0.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.004504652507609346,root.11.1.0.0.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.004504652507609346,root.11.1.0.0.1,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xc6b81b429797e0f555440b70cd99e032d7ae947e,0.004504652507609346,root.11.1.0.0.1.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000045046525076093,root.11.1.0.0.5.0.1.0.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xa633c73658857d5241fe21d43f854a82e2d0592c,0.004504652507609346,root.11.1.0.0.5.0.5.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x9622a5f4c3f5fef73cb71da0bff3ed86a8203056,0.004504652507609346,root.11.1.0.0.5.0.5.0.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.004504652507609346,root.11.1.0.0.5.0.6,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.004504652507609346,root.11.1.0.0.8.0.0,blockscout_nested
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.004504652507609346,root.11.1.0.0.9,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000074273289213857,root.0.2.0.0.0.0.0.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.007427328921385725,root.1.1.0.0.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.007427328921385725,root.1.1.0.0.1,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xc6b81b429797e0f555440b70cd99e032d7ae947e,0.007427328921385725,root.1.1.0.0.1.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000074273289213857,root.1.1.0.0.5.0.1.0.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xa633c73658857d5241fe21d43f854a82e2d0592c,0.007427328921385725,root.1.1.0.0.5.0.5.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x9622a5f4c3f5fef73cb71da0bff3ed86a8203056,0.007427328921385725,root.1.1.0.0.5.0.5.0.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.007427328921385725,root.1.1.0.0.5.0.6,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.007427328921385725,root.1.1.0.0.13.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.007427328921385725,root.1.1.0.0.14,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x743be0db30148336a3db479f19d4e1828b293869,0.0045299228871321,root.3.0.0,blockscout_nested
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x33eabd63853e74ff70d8b89982dfb5bc3eb0a189,0.0015587575688553,root.4.0.0,blockscout_nested
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000406134771804538,root.5.0.0.0.0.0.0.0,blockscout_nested
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.040613477180453816,root.12.1.0.0.0.0,blockscout_nested
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.040613477180453816,root.12.1.0.0.1,blockscout_nested
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xc6b81b429797e0f555440b70cd99e032d7ae947e,0.040613477180453816,root.12.1.0.0.1.0,blockscout_nested
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000406134771804538,root.12.1.0.0.5.0.1.0.0.0,blockscout_nested
